Topic,Count,Name,Representation,Representative_Docs,tweets_count
-1,3281,-1_Political discussions in Brazil,['Political discussions in Brazil'],"['mauricio gabriela prioli quintessencia cinismo sarcasmo hiprocrisia vitimismo sordido manipulacao mental doentia', 'gabriela prioli faca t v pr q izh', 'vox precisam concordar margaret thatcher rainha elizabeth muuuuuito girl power gabriela prioli']",
0,4907,0_Threats against public figures,['Threats against public figures'],"['gravida gabriela prioli cruelmente ameacada eleitores bolsonaro apos criticar gestao atual presidente s', 'gravida gabriela prioli cruelmente ameacada eleitores bolsonaro apos criticar gestao atual presidente s', 'gravida gabriela prioli cruelmente ameacada eleitores bolsonaro apos criticar gestao atual presidente s']",4907.0
1,4840,1_Conversational interactions on social media,['Conversational interactions on social media'],"['story gabriela prioli amiga eh claro nao', 'story gabriela prioli amiga eh claro nao', 'story gabriela prioli amiga eh claro nao']",4840.0
2,3718,2_Unknown/Not relevant content,['Unknown/Not relevant content'],"['tipo pq saber gabriela prioli rica gravida nova york educacao publica ve', 'tipo pq saber gabriela prioli rica gravida nova york educacao publica ve', 'tipo pq saber gabriela prioli rica gravida nova york educacao publica ve']",3718.0
3,1370,3_Politicians discussing education budget cuts,['Politicians discussing education budget cuts'],"['gabriela prioli dizendo nao manifestar corte drastico verbas educacao publica pq nova', 'gabriela prioli dizendo nao manifestar corte drastico verbas educacao publica pq nova', 'gabriela prioli dizendo nao manifestar corte drastico verbas educacao publica pq nova']",1370.0
4,919,4_Unintelligible text,['Unintelligible text'],"['gabriela prioli leu tanto livro pena nenhum ensinava aguentar piada t vxvn ccl', 'gabriela prioli leu tanto livro pena nenhum ensinava aguentar piada t vxvn ccl', 'gabriela prioli leu tanto livro pena nenhum ensinava aguentar piada t vxvn ccl']",919.0
5,828,5_Unintelligible text,['Unintelligible text'],"['gabriela prioli bolsonaro serum varrido volta nunca deveria saido t lnalaajenv', 'gabriela prioli bolsonaro serum varrido volta nunca deveria saido t qfeygsmx x', 'gabriela prioli bolsonaro serum varrido volta nunca deveria saido t vanavzsy i']",828.0
6,807,6_Incident involving Gabriela Prioli and Bolsonaro on Twitter,['Incident involving Gabriela Prioli and Bolsonaro on Twitter'],"['mulher gravida seis gabriela prioli atacada bolsonaro perfil twitter comunicadora gravou', 'mulher gravida seis gabriela prioli atacada bolsonaro perfil twitter comunicadora gravou', 'mulher gravida seis gabriela prioli atacada bolsonaro perfil twitter comunicadora gravou']",807.0
7,778,7_Political attacks and intimidation in Brazil,['Political attacks and intimidation in Brazil'],"['bolsonaro gabinete odio resolveram atacar advogada apresentadora gabriela prioli tentativa intimidacao', 'bolsonaro gabinete odio resolveram atacar advogada apresentadora gabriela prioli tentativa intimidacao', 'bolsonaro gabinete odio resolveram atacar advogada apresentadora gabriela prioli tentativa intimidacao']",778.0
8,581,8_Political commentary and satire,['Political commentary and satire'],"['gabriela prioli q nao bolsonaro programa responde debochada dizendo q nao querer q el', 'gabriela prioli q nao bolsonaro programa responde debochada dizendo q nao querer q el', 'gabriela prioli q nao bolsonaro programa responde debochada dizendo q nao querer q el']",581.0
