Topic,negative,neutral,positive
0,4907,0,0
1,34,4806,0
10,192,255,70
11,23,484,0
12,496,1,0
13,0,440,0
14,359,0,0
15,328,0,0
16,322,1,0
17,298,3,1
18,287,0,4
19,0,0,286
2,1,3717,0
20,0,236,0
21,221,4,2
22,189,0,0
23,177,0,0
24,0,173,0
25,156,1,0
26,145,0,0
27,0,136,0
28,117,0,0
29,114,0,0
3,1170,155,45
30,47,54,8
31,100,0,0
32,1,96,0
33,95,0,0
34,5,88,0
35,0,92,0
36,91,0,0
37,48,37,0
38,83,0,0
39,80,1,0
4,919,0,0
40,2,73,0
41,35,36,0
42,64,1,1
43,1,64,0
44,14,2,47
45,32,30,0
46,61,0,0
47,1,57,0
48,54,0,0
49,0,0,48
5,496,298,34
50,0,0,47
51,46,0,0
52,41,0,0
53,0,40,0
54,28,11,0
55,36,1,0
56,36,0,0
57,31,1,0
58,31,0,0
6,807,0,0
7,778,0,0
8,581,0,0
9,552,0,0
